شیت اول
فهرست بهای واحد پایه رشته ابنیه سال 1404				
شماره	فصل	شرح	واحد	"بهای واحد
(ریال)"
020104	02	کندن زمین در زمین‌های سنگی و ریختن مواد کنده شده به کنار محل‌های مربوط	مترمکعب	16,012,000
020105	02	کندن زمین در زمین‌های سنگی با استفاده از مواد سوزا و کارگر و ریختن سنگهای کنده شده به کنار محل‌های مربوط	مترمکعب	0
020106	02	کندن زمین در زمین‌های سنگی با استفاده از مواد منبسط شونده و کارگر و ریختن سنگهای کنده شده به کنار محل‌های مربوط	مترمکعب	0
020201	02	اضافه‌بها به ردیف‌‌های 020102و 020104، هرگاه عمق کندن زمین بیش از ۲ متر باشد، برای حجم واقع بین ۲ تا ۴ متر، یک بار و برای حجم واقع بین ۴ تا ۶ متر، دو بار و به همین ترتیب برای عمق‌های بیشتر تا 10 متر	مترمکعب	564,500
020202	02	اضافه‌بها به ردیف‌‌های ۰۲۰۱۰۲ و 020104، در صورتی که عملیات پایین تراز سطح آب زیرزمینی صورت گیرد و برای آبکشی حین انجام کار، به کار بردن تلمبه موتوری ضروری باشد	مترمکعب	1,588,000
020301	02	حفرمیله چاه به قطر تا ۱٫۲ متر در زمین‌‌های خاکی و حمل خاکهای حاصله تا فاصله ۱۰ متری از دهانه چاه	مترمکعب	9,276,000
020303	02	حفر کوره (انبار)، به صورت مخروطی شکل با ابعاد مورد نیاز در زمین های خاکی و حمل خاکهای حاصله تا فاصله 10 متری از دهانه چاه	مترمکعب	6,035,000
020304	02	اضافه‌بها نسبت به ردیف ۰۲۰۳۰۱ و 020303، هرگاه عمق چاه بیش از۲۰ متر باشد، برای حجم واقع در ۵ متر اول مازاد بر۲۰ متر، یک بار، و برای حجم واقع در ۵ متر دوم، دو بار، و برای حجم واقع در ۵ متر سوم، سه بار و به همین ترتیب برای عمق‌‌های بیشتر	مترمکعب	1,012,000
020401	02	بارگیری مواد حاصل از هر نوع عملیات خاکی (غیر لجنی) و حمل با هر نوع وسیله دستی تا 20 متر و تخلیه آن در مواردی که استفاده از ماشین برای حمل ممکن نباشد	مترمکعب	974,000
020402	02	اضافه‌بها  به ردیف‌‌های ۰۲۰۱۰۱ و ۰۲۰۴۰۱، به ازای هر 2۰ متر حمل اضافی با وسایل دستی   و حداکثر تا 100 متر (کسر2۰ متر به تناسب محاسبه می‌شود).	مترمکعب	457,500
020501	02	تسطیح و رگلاژ بستر خاکریزها یا بستر کنده شده، که با ماشین انجام شده باشد	مترمربع	56,100
020502	02	سرند  کردن خاک، شن یا ماسه، برحسب حجم مواد سرند و مصرف شده در محل.	مترمکعب	854,000
020503	02	تهیه،  حمل، ریختن، پخش و تسطیح هر نوع خاک زراعتی.	مترمکعب	4,421,000
020504	02	ریختن خاکها یا مصالح سنگی موجود در کنار پی‌‌ها، گودها، ترانشه‌ها و کانال‌‌ها، به ‌درون آن‌ها به صورت لایه لایه و در هر عمق و پخش و تسطیح لازم	مترمکعب	470,000
020505	02	پخش و تسطیح خاکهای ریخته شده در خاکریزها به صورت لایه لایه، در هر عمق و ارتفاع به‌ غیر از پی‌‌ها، گودها، ترانشه‌ها و کانال‌‌ها	مترمکعب	430,500
020506	02	اختلاط انواع مصالح با دست.	مترمکعب	1,221,000
020507	02	رگلاژ و پروفیله‌کردن سطوح شیروانی‌ها یا دیواره‌های خاکی	مترمربع	214,000
020508	02	احداث پله (بانکت) روی شیروانی خاک‌ریزها و یا سراشیب‌های بستر خاکریز در زمین‌های خاکی با هر سطح مقطع بابت متراژ سطح پله (با انجام کلیه عملیات لازم)	مترمربع	337,000
020601	02	آب‌پاشی و کوبیدن سطوح کنده شده یا سطح زمین طبیعی، تا عمق 15 سانتی‌متر با تراکم ۹۵ درصد به‌ روش پروکتور استاندارد	مترمربع	88,500
020602	02	آب‌پاشی و کوبیدن قشرهای خاکریزی، با تراکم ۹۵ درصد به‌ روش پروکتور استاندارد، وقتی که ضخامت هریک از قشرهای خاکریزی پس از کوبیده شدن حداکثر 15 سانتی‌متر باشد	مترمکعب	845,500
030101	03	شخم‌زدن هر نوع زمین غیرسنگی با وسیله مکانیکی به عمق تا 35 سانتی‌متر.	مترمربع	7,510
030102	03	لجن‌برداری در زمین‌های لجنی با لودر یا وسیله مشابه، حمل مواد تا فاصله ۲۰ متر از مرکز ثقل برداشت و تخلیه آن	مترمکعب	583,500
030103	03	کندن زمین در زمین‌های خاکی با بولدوزر یا وسیله مشابه وحمل مواد حاصل تا فاصله ۲۰ متر از مرکز ثقل برداشت و توده کردن آن	مترمکعب	147,000
030105	03	کندن زمین در زمین‌های سنگی با بولدوزر یا وسیله مشابه وحمل مواد حاصل  تا فاصله ۲۰ متر از مرکز ثقل برداشت و توده کردن  آن	مترمکعب	933,500
030201	03	کندن زمین در زمین‌های سنگی با بولدوزر یا وسیله مشابه و با استفاده از مواد سوزا، حمل مواد حاصل تا فاصله ۲۰ متر از مرکز ثقل برداشت و توده کردن آن	مترمکعب	1,069,000
030202	03	اضافه‌بهابه ردیف 030105، در صورتی که در حین عملیات کندن زمین در زمین سنگی با بولدوزر لزوماً از چکش هیدرولیکی استفاده گردد.	مترمکعب	716,500
030203	03	کندن زمین در زمین‌های سنگی با   بولدوزر یا وسیله مشابه و با استفاده از مواد منبسط شونده، حمل مواد حاصل تا   فاصله ۲۰ متر از مرکز ثقل برداشت و توده کردن آن.	مترمکعب	0
030204	03	اضافه‌بها به ردیف ٠٣٠٢٠١ چنانچه در انفجار از سامانه نانل به جای چاشنی الکتریکی استفاده شود	مترمکعب	85,400
030301	03	رگلاژ و پروفیله کردن سطح شیروانی ترانشه‌ها و شیروانی خاک‌ریزها	مترمربع	44,000
030401	03	اضافه‌بها به‌ ردیف‌های ۰۳۰۱۰۳، ۰۳۰۱۰۵ و ۰۳۰۲۰۱ در صورتی که کندن زمین در گود انجام شود	مترمکعب	34,200
030403	03	اضافه‌بها به‌ ردیف ۰۳۰۱۰۲، هرگاه فاصله حمل بیش از ۲۰   متر و حداکثر 50 متر باشد.	مترمکعب	178,000
030404	03	جابجایی خاکهای حاصل از کندن زمین یا خاکهای توده شده (به جز زمین لجنی)، حداکثر تا 50 متر با بولدوزر یا وسیله مشابه از کنار محل کندن زمین به محل دپو یا برعکس به ازای هر 20متر. (کسر 20 متر به تناسب محاسبه می‌شود.)	مترمکعب	65,500
030501	03	کندن زمین در صورت لزوم استفاده از بیل هیدرولیکی یا   وسیله مشابه در زمین‌های خاکی و ریختن خاک کنده شده در کنارمحل‌های مربوط.	مترمکعب	314,000
030503	03	لجن‌برداری در صورت لزوم استفاده از بیل هیدرولیکی یا   وسیله مشابه در زمین‌های لجنی و حمل و تخلیه مواد کنده شده تا فاصله ۲۰   متر از مرکز ثقل برداشت.	مترمکعب	748,500
030504	03	کندن زمین در صورت لزوم استفاده از چکش هیدرولیکی در زمین‌های   سنگی و حمل و تخلیه مواد کنده شده تا فاصله ۲۰ متر از مرکز ثقل برداشت.	مترمکعب	3,039,000
030601	03	اضافه‌بها به‌ ردیف‌های ۰۳۰۵۰۱ تا ۰۳۰۵۰۴، هرگاه عمق کندن   زمین تا 2 متر باشد.	مترمکعب	51,300
030602	03	اضافه‌بها به ‌ردیف‌های کندن زمین(به جز زمین لجنی)، هرگاه   عملیات کندن زمین زیر تراز آب زیرزمینی انجام شود و آبکشی با تلمبه موتوری الزامی   باشد.	مترمکعب	436,500
